,Unnamed: 0,code,invasive,scientific_name,scope,score,severity,timing,title,Unnamed: 0.1,category,class_name,family_name,genus_name,infra_name,infra_rank,kingdom_name,order_name,phylum_name,population,taxonid
24,24,7.2,,Aaptosyax grypus,Majority (50-90%),Low Impact: 4,"Slow, Significant Declines",Future,Dams & water management/use,6,CR,ACTINOPTERYGII,CYPRINIDAE,Aaptosyax,,,ANIMALIA,CYPRINIFORMES,CHORDATA,,9
25,25,7.2.10,,Aaptosyax grypus,Majority (50-90%),Low Impact: 4,"Slow, Significant Declines",Future,Large dams,6,CR,ACTINOPTERYGII,CYPRINIDAE,Aaptosyax,,,ANIMALIA,CYPRINIFORMES,CHORDATA,,9
26,26,1.1,,Abrocoma boliviensis,,Low Impact: 3,,Ongoing,Housing & urban areas,7,CR,MAMMALIA,ABROCOMIDAE,Abrocoma,,,ANIMALIA,RODENTIA,CHORDATA,,18
27,27,2.3,,Abrocoma boliviensis,,Low Impact: 3,,Ongoing,Livestock farming & ranching,7,CR,MAMMALIA,ABROCOMIDAE,Abrocoma,,,ANIMALIA,RODENTIA,CHORDATA,,18
28,28,2.3.2,,Abrocoma boliviensis,,Low Impact: 3,,Ongoing,"Small-holder grazing, ranching or farming",7,CR,MAMMALIA,ABROCOMIDAE,Abrocoma,,,ANIMALIA,RODENTIA,CHORDATA,,18
29,29,4.1,,Abrocoma boliviensis,,Low Impact: 3,,Ongoing,Roads & railroads,7,CR,MAMMALIA,ABROCOMIDAE,Abrocoma,,,ANIMALIA,RODENTIA,CHORDATA,,18
30,30,7.1,,Abrocoma boliviensis,,Low Impact: 3,,Ongoing,Fire & fire suppression,7,CR,MAMMALIA,ABROCOMIDAE,Abrocoma,,,ANIMALIA,RODENTIA,CHORDATA,,18
31,31,7.1.3,,Abrocoma boliviensis,,Low Impact: 3,,Ongoing,Trend Unknown/Unrecorded,7,CR,MAMMALIA,ABROCOMIDAE,Abrocoma,,,ANIMALIA,RODENTIA,CHORDATA,,18
32,32,2.1,,Abronia montecristoi,Unknown,Unknown,Unknown,Ongoing,Annual & perennial non-timber crops,8,EN,REPTILIA,ANGUIDAE,Abronia,,,ANIMALIA,SQUAMATA,CHORDATA,,20
33,33,2.1.4,,Abronia montecristoi,Unknown,Unknown,Unknown,Ongoing,Scale Unknown/Unrecorded,8,EN,REPTILIA,ANGUIDAE,Abronia,,,ANIMALIA,SQUAMATA,CHORDATA,,20
34,34,5.3,,Abronia montecristoi,Unknown,Unknown,Unknown,Ongoing,Logging & wood harvesting,8,EN,REPTILIA,ANGUIDAE,Abronia,,,ANIMALIA,SQUAMATA,CHORDATA,,20
35,35,5.3.5,,Abronia montecristoi,Unknown,Unknown,Unknown,Ongoing,Motivation Unknown/Unrecorded,8,EN,REPTILIA,ANGUIDAE,Abronia,,,ANIMALIA,SQUAMATA,CHORDATA,,20
36,36,1.1,,Acanthaeschna victoria,,Low Impact: 3,,Ongoing,Housing & urban areas,9,EN,INSECTA,AESHNIDAE,Acanthaeschna,,,ANIMALIA,ODONATA,ARTHROPODA,,43
37,37,1.2,,Acanthaeschna victoria,,Low Impact: 3,,Ongoing,Commercial & industrial areas,9,EN,INSECTA,AESHNIDAE,Acanthaeschna,,,ANIMALIA,ODONATA,ARTHROPODA,,43
38,38,1.3,,Acanthaeschna victoria,,Low Impact: 3,,Ongoing,Tourism & recreation areas,9,EN,INSECTA,AESHNIDAE,Acanthaeschna,,,ANIMALIA,ODONATA,ARTHROPODA,,43
39,39,2.1,,Acanthaeschna victoria,,Low Impact: 3,,Ongoing,Annual & perennial non-timber crops,9,EN,INSECTA,AESHNIDAE,Acanthaeschna,,,ANIMALIA,ODONATA,ARTHROPODA,,43
40,40,2.1.2,,Acanthaeschna victoria,,Low Impact: 3,,Ongoing,Small-holder farming,9,EN,INSECTA,AESHNIDAE,Acanthaeschna,,,ANIMALIA,ODONATA,ARTHROPODA,,43
41,41,2.1.3,,Acanthaeschna victoria,,Low Impact: 3,,Ongoing,Agro-industry farming,9,EN,INSECTA,AESHNIDAE,Acanthaeschna,,,ANIMALIA,ODONATA,ARTHROPODA,,43
42,42,2.1.4,,Acanthaeschna victoria,,Low Impact: 3,,Ongoing,Scale Unknown/Unrecorded,9,EN,INSECTA,AESHNIDAE,Acanthaeschna,,,ANIMALIA,ODONATA,ARTHROPODA,,43
43,43,2.3,,Acanthaeschna victoria,,Low Impact: 3,,Ongoing,Livestock farming & ranching,9,EN,INSECTA,AESHNIDAE,Acanthaeschna,,,ANIMALIA,ODONATA,ARTHROPODA,,43
44,44,2.3.2,,Acanthaeschna victoria,,Low Impact: 3,,Ongoing,"Small-holder grazing, ranching or farming",9,EN,INSECTA,AESHNIDAE,Acanthaeschna,,,ANIMALIA,ODONATA,ARTHROPODA,,43
45,45,2.3.3,,Acanthaeschna victoria,,Low Impact: 3,,Ongoing,"Agro-industry grazing, ranching or farming",9,EN,INSECTA,AESHNIDAE,Acanthaeschna,,,ANIMALIA,ODONATA,ARTHROPODA,,43
46,46,2.3.4,,Acanthaeschna victoria,,Low Impact: 3,,Ongoing,Scale Unknown/Unrecorded,9,EN,INSECTA,AESHNIDAE,Acanthaeschna,,,ANIMALIA,ODONATA,ARTHROPODA,,43
47,47,7.1,,Acanthaeschna victoria,,Low Impact: 3,,Ongoing,Fire & fire suppression,9,EN,INSECTA,AESHNIDAE,Acanthaeschna,,,ANIMALIA,ODONATA,ARTHROPODA,,43
48,48,7.1.1,,Acanthaeschna victoria,,Low Impact: 3,,Ongoing,Increase in fire frequency/intensity,9,EN,INSECTA,AESHNIDAE,Acanthaeschna,,,ANIMALIA,ODONATA,ARTHROPODA,,43
49,49,7.2,,Acanthaeschna victoria,,Low Impact: 3,,Ongoing,Dams & water management/use,9,EN,INSECTA,AESHNIDAE,Acanthaeschna,,,ANIMALIA,ODONATA,ARTHROPODA,,43
50,50,7.2.8,,Acanthaeschna victoria,,Low Impact: 3,,Ongoing,Abstraction of ground water (unknown use),9,EN,INSECTA,AESHNIDAE,Acanthaeschna,,,ANIMALIA,ODONATA,ARTHROPODA,,43
51,51,6.3,,Acanthinula spinifera,,Low Impact: 3,,Ongoing,Work & other activities,10,DD,GASTROPODA,VALLONIIDAE,Acanthinula,,,ANIMALIA,STYLOMMATOPHORA,MOLLUSCA,,59
52,52,7.1,,Acanthinula spinifera,,Low Impact: 3,,Ongoing,Fire & fire suppression,10,DD,GASTROPODA,VALLONIIDAE,Acanthinula,,,ANIMALIA,STYLOMMATOPHORA,MOLLUSCA,,59
53,53,7.1.1,,Acanthinula spinifera,,Low Impact: 3,,Ongoing,Increase in fire frequency/intensity,10,DD,GASTROPODA,VALLONIIDAE,Acanthinula,,,ANIMALIA,STYLOMMATOPHORA,MOLLUSCA,,59
54,54,7.2,,Mirogrex hulensis,,,,"Past, Unlikely to Return",Dams & water management/use,11,EX,ACTINOPTERYGII,CYPRINIDAE,Mirogrex,,,ANIMALIA,CYPRINIFORMES,CHORDATA,,73
55,55,7.2.8,,Mirogrex hulensis,,,,"Past, Unlikely to Return",Abstraction of ground water (unknown use),11,EX,ACTINOPTERYGII,CYPRINIDAE,Mirogrex,,,ANIMALIA,CYPRINIFORMES,CHORDATA,,73
56,56,11.2,,Acanthochelys pallidipectoris,Whole (>90%),Medium Impact: 7,Causing/Could cause fluctuations,Ongoing,Droughts,12,EN,REPTILIA,CHELIDAE,Acanthochelys,,,ANIMALIA,TESTUDINES,CHORDATA,,75
57,57,11.3,,Acanthochelys pallidipectoris,Whole (>90%),Medium Impact: 7,Causing/Could cause fluctuations,Ongoing,Temperature extremes,12,EN,REPTILIA,CHELIDAE,Acanthochelys,,,ANIMALIA,TESTUDINES,CHORDATA,,75
58,58,2.1,,Acanthochelys pallidipectoris,Majority (50-90%),Medium Impact: 6,"Slow, Significant Declines",Ongoing,Annual & perennial non-timber crops,12,EN,REPTILIA,CHELIDAE,Acanthochelys,,,ANIMALIA,TESTUDINES,CHORDATA,,75
59,59,2.1.3,,Acanthochelys pallidipectoris,Majority (50-90%),Medium Impact: 6,"Slow, Significant Declines",Ongoing,Agro-industry farming,12,EN,REPTILIA,CHELIDAE,Acanthochelys,,,ANIMALIA,TESTUDINES,CHORDATA,,75
60,60,2.3,,Acanthochelys pallidipectoris,Majority (50-90%),Medium Impact: 6,Causing/Could cause fluctuations,Ongoing,Livestock farming & ranching,12,EN,REPTILIA,CHELIDAE,Acanthochelys,,,ANIMALIA,TESTUDINES,CHORDATA,,75
61,61,2.3.3,,Acanthochelys pallidipectoris,Majority (50-90%),Medium Impact: 6,Causing/Could cause fluctuations,Ongoing,"Agro-industry grazing, ranching or farming",12,EN,REPTILIA,CHELIDAE,Acanthochelys,,,ANIMALIA,TESTUDINES,CHORDATA,,75
62,62,5.4,,Acanthochelys pallidipectoris,Minority (<50%),Medium Impact: 6,Rapid Declines,Ongoing,Fishing & harvesting aquatic resources,12,EN,REPTILIA,CHELIDAE,Acanthochelys,,,ANIMALIA,TESTUDINES,CHORDATA,,75
63,63,5.4.1,,Acanthochelys pallidipectoris,Minority (<50%),Medium Impact: 6,Rapid Declines,Ongoing,Intentional use: (subsistence/small scale) [harvest],12,EN,REPTILIA,CHELIDAE,Acanthochelys,,,ANIMALIA,TESTUDINES,CHORDATA,,75
64,64,8.2,,Acanthochelys pallidipectoris,Majority (50-90%),Medium Impact: 6,Causing/Could cause fluctuations,Ongoing,Problematic native species/diseases,12,EN,REPTILIA,CHELIDAE,Acanthochelys,,,ANIMALIA,TESTUDINES,CHORDATA,,75
65,65,11.2,,Salmo ohridanus,,No/Negligible Impact: 1,,Future,Droughts,17,VU,ACTINOPTERYGII,SALMONIDAE,Salmo,,,ANIMALIA,SALMONIFORMES,CHORDATA,,81
66,66,5.4,,Salmo ohridanus,,Low Impact: 3,,Ongoing,Fishing & harvesting aquatic resources,17,VU,ACTINOPTERYGII,SALMONIDAE,Salmo,,,ANIMALIA,SALMONIFORMES,CHORDATA,,81
67,67,5.4.1,,Salmo ohridanus,,Low Impact: 3,,Ongoing,Intentional use: (subsistence/small scale) [harvest],17,VU,ACTINOPTERYGII,SALMONIDAE,Salmo,,,ANIMALIA,SALMONIFORMES,CHORDATA,,81
68,68,7.2,,Salmo ohridanus,,No/Negligible Impact: 1,,Future,Dams & water management/use,17,VU,ACTINOPTERYGII,SALMONIDAE,Salmo,,,ANIMALIA,SALMONIFORMES,CHORDATA,,81
69,69,7.2.4,,Salmo ohridanus,,No/Negligible Impact: 1,,Future,Abstraction of surface water (unknown use),17,VU,ACTINOPTERYGII,SALMONIDAE,Salmo,,,ANIMALIA,SALMONIFORMES,CHORDATA,,81
70,70,8.3,,Salmo ohridanus,,Low Impact: 3,,Ongoing,Introduced genetic material,17,VU,ACTINOPTERYGII,SALMONIDAE,Salmo,,,ANIMALIA,SALMONIFORMES,CHORDATA,,81
71,71,9.1,,Salmo ohridanus,,Low Impact: 3,,Ongoing,Domestic & urban waste water,17,VU,ACTINOPTERYGII,SALMONIDAE,Salmo,,,ANIMALIA,SALMONIFORMES,CHORDATA,,81
72,72,9.1.3,,Salmo ohridanus,,Low Impact: 3,,Ongoing,Type Unknown/Unrecorded,17,VU,ACTINOPTERYGII,SALMONIDAE,Salmo,,,ANIMALIA,SALMONIFORMES,CHORDATA,,81
73,73,9.3,,Salmo ohridanus,,Low Impact: 3,,Ongoing,Agricultural & forestry effluents,17,VU,ACTINOPTERYGII,SALMONIDAE,Salmo,,,ANIMALIA,SALMONIFORMES,CHORDATA,,81
74,74,9.3.4,,Salmo ohridanus,,Low Impact: 3,,Ongoing,Type Unknown/Unrecorded,17,VU,ACTINOPTERYGII,SALMONIDAE,Salmo,,,ANIMALIA,SALMONIFORMES,CHORDATA,,81
75,75,2.1,,Acerodon celebensis,,Low Impact: 3,,Ongoing,Annual & perennial non-timber crops,20,VU,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,137
76,76,2.1.2,,Acerodon celebensis,,Low Impact: 3,,Ongoing,Small-holder farming,20,VU,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,137
77,77,5.1,,Acerodon celebensis,,Low Impact: 5,Rapid Declines,Ongoing,Hunting & trapping terrestrial animals,20,VU,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,137
78,78,5.1.1,,Acerodon celebensis,,Low Impact: 5,Rapid Declines,Ongoing,Intentional use (species is the target),20,VU,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,137
79,79,5.3,,Acerodon celebensis,,Low Impact: 4,"Slow, Significant Declines",Ongoing,Logging & wood harvesting,20,VU,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,137
80,80,5.3.5,,Acerodon celebensis,,Low Impact: 4,"Slow, Significant Declines",Ongoing,Motivation Unknown/Unrecorded,20,VU,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,137
81,81,5.1,,Acerodon humilis,,Low Impact: 3,,Ongoing,Hunting & trapping terrestrial animals,21,EN,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,138
82,82,5.1.1,,Acerodon humilis,,Low Impact: 3,,Ongoing,Intentional use (species is the target),21,EN,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,138
83,83,5.3,,Acerodon humilis,,Low Impact: 3,,Ongoing,Logging & wood harvesting,21,EN,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,138
84,84,5.3.5,,Acerodon humilis,,Low Impact: 3,,Ongoing,Motivation Unknown/Unrecorded,21,EN,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,138
85,85,1.1,,Acerodon jubatus,,Low Impact: 3,,Ongoing,Housing & urban areas,22,EN,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,139
86,86,2.1,,Acerodon jubatus,,Low Impact: 3,,Ongoing,Annual & perennial non-timber crops,22,EN,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,139
87,87,2.1.2,,Acerodon jubatus,,Low Impact: 3,,Ongoing,Small-holder farming,22,EN,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,139
88,88,2.1.3,,Acerodon jubatus,,Low Impact: 3,,Ongoing,Agro-industry farming,22,EN,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,139
89,89,3.2,,Acerodon jubatus,,Low Impact: 3,,Ongoing,Mining & quarrying,22,EN,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,139
90,90,5.1,,Acerodon jubatus,,Low Impact: 3,,Ongoing,Hunting & trapping terrestrial animals,22,EN,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,139
91,91,5.1.1,,Acerodon jubatus,,Low Impact: 3,,Ongoing,Intentional use (species is the target),22,EN,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,139
92,92,5.1.3,,Acerodon jubatus,,Low Impact: 3,,Ongoing,Persecution/control,22,EN,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,139
93,93,5.3,,Acerodon jubatus,,Low Impact: 3,,Ongoing,Logging & wood harvesting,22,EN,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,139
94,94,5.3.5,,Acerodon jubatus,,Low Impact: 3,,Ongoing,Motivation Unknown/Unrecorded,22,EN,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,139
95,95,6.1,,Acerodon jubatus,,Low Impact: 3,,Ongoing,Recreational activities,22,EN,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,139
96,96,6.3,,Acerodon jubatus,,Low Impact: 3,,Ongoing,Work & other activities,22,EN,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,139
97,97,1.1,,Acerodon leucotis,,Low Impact: 3,,Ongoing,Housing & urban areas,23,VU,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,140
98,98,2.1,,Acerodon leucotis,,Low Impact: 3,,Ongoing,Annual & perennial non-timber crops,23,VU,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,140
99,99,2.1.1,,Acerodon leucotis,,Low Impact: 3,,Ongoing,Shifting agriculture,23,VU,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,140
100,100,2.1.2,,Acerodon leucotis,,Low Impact: 3,,Ongoing,Small-holder farming,23,VU,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,140
101,101,2.3,,Acerodon leucotis,,Low Impact: 3,,Ongoing,Livestock farming & ranching,23,VU,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,140
102,102,2.3.2,,Acerodon leucotis,,Low Impact: 3,,Ongoing,"Small-holder grazing, ranching or farming",23,VU,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,140
103,103,3.2,,Acerodon leucotis,,Low Impact: 3,,Ongoing,Mining & quarrying,23,VU,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,140
104,104,5.1,,Acerodon leucotis,,Low Impact: 3,,Ongoing,Hunting & trapping terrestrial animals,23,VU,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,140
105,105,5.1.1,,Acerodon leucotis,,Low Impact: 3,,Ongoing,Intentional use (species is the target),23,VU,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,140
106,106,5.3,,Acerodon leucotis,,Low Impact: 3,,Ongoing,Logging & wood harvesting,23,VU,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,140
107,107,5.3.5,,Acerodon leucotis,,Low Impact: 3,,Ongoing,Motivation Unknown/Unrecorded,23,VU,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,140
108,108,5.1,,Acerodon mackloti,,Low Impact: 3,,Ongoing,Hunting & trapping terrestrial animals,24,VU,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,142
109,109,5.1.1,,Acerodon mackloti,,Low Impact: 3,,Ongoing,Intentional use (species is the target),24,VU,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,142
110,110,5.3,,Acerodon mackloti,,Low Impact: 3,,Ongoing,Logging & wood harvesting,24,VU,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,142
111,111,5.3.5,,Acerodon mackloti,,Low Impact: 3,,Ongoing,Motivation Unknown/Unrecorded,24,VU,MAMMALIA,PTEROPODIDAE,Acerodon,,,ANIMALIA,CHIROPTERA,CHORDATA,,142
112,112,4.1,,Achalinus werneri,Unknown,Unknown,Unknown,Ongoing,Roads & railroads,25,NT,REPTILIA,XENODERMIDAE,Achalinus,,,ANIMALIA,SQUAMATA,CHORDATA,,161
113,113,8.1,Herpestes auropunctatus,Achalinus werneri,Unknown,Unknown,Unknown,Ongoing,Invasive non-native/alien species/diseases (Herpestes auropunctatus),25,NT,REPTILIA,XENODERMIDAE,Achalinus,,,ANIMALIA,SQUAMATA,CHORDATA,,161
114,114,8.1.2,Herpestes auropunctatus,Achalinus werneri,Unknown,Unknown,Unknown,Ongoing,Named species (Herpestes auropunctatus),25,NT,REPTILIA,XENODERMIDAE,Achalinus,,,ANIMALIA,SQUAMATA,CHORDATA,,161
115,115,2.1,,Acheilognathus elongatus,Unknown,Unknown,Unknown,Ongoing,Annual & perennial non-timber crops,68,CR,ACTINOPTERYGII,CYPRINIDAE,Acheilognathus,,,ANIMALIA,CYPRINIFORMES,CHORDATA,,212
116,116,2.1.4,,Acheilognathus elongatus,Unknown,Unknown,Unknown,Ongoing,Scale Unknown/Unrecorded,68,CR,ACTINOPTERYGII,CYPRINIDAE,Acheilognathus,,,ANIMALIA,CYPRINIFORMES,CHORDATA,,212
117,117,5.1,,Acheilognathus elongatus,Unknown,Past Impact,Unknown,"Past, Unlikely to Return",Hunting & trapping terrestrial animals,68,CR,ACTINOPTERYGII,CYPRINIDAE,Acheilognathus,,,ANIMALIA,CYPRINIFORMES,CHORDATA,,212
118,118,5.1.1,,Acheilognathus elongatus,Unknown,Past Impact,Unknown,"Past, Unlikely to Return",Intentional use (species is the target),68,CR,ACTINOPTERYGII,CYPRINIDAE,Acheilognathus,,,ANIMALIA,CYPRINIFORMES,CHORDATA,,212
