Country Name,Country Code,agri_gdp_percentage(AVG from 2011 to 2013),Agri_Flag
Lebanon,LBN,3.80072829,
Liberia,LBR,40.11013443,
Libya,LBY,1.84947245,Closest Entry
St. Lucia,LCA,2.480128786,
Latin America & Caribbean,LCN,4.616918592,
Least developed countries: UN classification,LDC,21.99086114,
Low income,LIC,27.2220319,
Liechtenstein,LIE,NaN,
Sri Lanka,LKA,7.982502003,
Lower middle income,LMC,16.16841469,
Low & middle income,LMY,9.085186285,
Lesotho,LSO,5.358523764,
Late-demographic dividend,LTE,6.673163895,
Lithuania,LTU,3.690179104,
Luxembourg,LUX,0.296191155,
Latvia,LVA,3.333979668,
"Macao SAR, China",MAC,NaN,
St. Martin (French part),MAF,NaN,
Morocco,MAR,12.94637157,
Monaco,MCO,NaN,
Moldova,MDA,11.12759587,
Madagascar,MDG,25.34202552,
Maldives,MDV,5.329891165,
Middle East & North Africa,MEA,4.622891186,
Mexico,MEX,3.133723405,
Marshall Islands,MHL,18.88090518,
Middle income,MIC,8.822116622,
North Macedonia,MKD,9.494395851,
Mali,MLI,36.46826153,
Malta,MLT,1.295538108,
Myanmar,MMR,30.87336919,
Middle East & North Africa (excluding high income),MNA,8.455959764,
Montenegro,MNE,7.853352145,
Mongolia,MNG,11.65981462,
Northern Mariana Islands,MNP,NaN,
Mozambique,MOZ,25.20329637,
Mauritania,MRT,17.67323243,
Mauritius,MUS,3.578782768,
Malawi,MWI,28.57831628,
Malaysia,MYS,10.1201559,
North America,NAC,1.274455305,
Namibia,NAM,7.543605131,
New Caledonia,NCL,NaN,
Niger,NER,37.39808228,
Nigeria,NGA,21.61776415,
Nicaragua,NIC,17.66242769,
Netherlands,NLD,1.676447814,
Norway,NOR,1.260991848,
Nepal,NPL,33.22058745,
Nauru,NRU,3.371817937,Closest Entry
New Zealand,NZL,7.989827689,
OECD members,OED,1.539578353,
Oman,OMN,1.238887077,
Other small states,OSS,2.180243451,
Pakistan,PAK,24.22384928,
Panama,PAN,3.073838376,
Peru,PER,6.831218181,
Philippines,PHL,11.93577775,
Palau,PLW,3.700918985,
Papua New Guinea,PNG,19.2442204,
Poland,POL,2.790050348,
Pre-demographic dividend,PRE,18.3219538,
Puerto Rico,PRI,0.807495836,
"Korea, Dem. People’s Rep.",PRK,NaN,
Portugal,PRT,1.936292525,
Paraguay,PRY,12.32335299,
West Bank and Gaza,PSE,4.921828954,
Pacific island small states,PSS,13.34761805,
Post-demographic dividend,PST,1.39906587,
French Polynesia,PYF,NaN,
Qatar,QAT,0.095647597,
Romania,ROU,5.435613948,
Russian Federation,RUS,3.248814848,
Rwanda,RWA,28.78037931,
South Asia,SAS,17.61663712,
Saudi Arabia,SAU,2.136026891,
Sudan,SDN,30.4217071,
Senegal,SEN,13.51425562,
Singapore,SGP,0.034139555,
Solomon Islands,SLB,NaN,
Sierra Leone,SLE,51.05629716,
El Salvador,SLV,6.485966141,
San Marino,SMR,NaN,
Somalia,SOM,NaN,
Serbia,SRB,7.098009453,
Sub-Saharan Africa (excluding high income),SSA,15.57863102,
South Sudan,SSD,7.60557888,
Sub-Saharan Africa,SSF,15.56778872,
Small states,SST,2.586937883,
Sao Tome and Principe,STP,11.93566518,
Suriname,SUR,8.728934023,
Slovak Republic,SVK,3.304248533,
Slovenia,SVN,1.860259939,
Sweden,SWE,1.323985621,
Eswatini,SWZ,10.14701753,
Sint Maarten (Dutch part),SXM,0.104940525,
Seychelles,SYC,2.311176269,
Syrian Arab Republic,SYR,NaN,
Turks and Caicos Islands,TCA,0.555707193,
Chad,TCD,52.04706881,
East Asia & Pacific (IDA & IBRD countries),TEA,10.03406816,
Europe & Central Asia (IDA & IBRD countries),TEC,5.015282198,
Togo,TGO,36.63794456,
Thailand,THA,11.47551491,
Tajikistan,TJK,22.82773808,
Turkmenistan,TKM,8.620071856,
Latin America & the Caribbean (IDA & IBRD countries),TLA,4.695058846,
Timor-Leste,TLS,4.589882757,
Middle East & North Africa (IDA & IBRD countries),TMN,8.482561954,
Tonga,TON,17.10951587,
South Asia (IDA & IBRD),TSA,17.61663712,
Sub-Saharan Africa (IDA & IBRD countries),TSS,15.56778872,
Trinidad and Tobago,TTO,0.394406113,
Tunisia,TUN,8.836928151,
Turkey,TUR,7.571098885,
Tuvalu,TUV,22.07402729,
Tanzania,TZA,26.10621963,
Uganda,UGA,25.54133692,
Ukraine,UKR,8.266234925,
Upper middle income,UMC,6.780452441,
Uruguay,URY,8.189045036,
United States,USA,1.236276722,
Uzbekistan,UZB,17.58602478,
St. Vincent and the Grenadines,VCT,6.334712688,
"Venezuela, RB",VEN,4.977282924,
British Virgin Islands,VGB,NaN,
Virgin Islands (U.S.),VIR,NaN,
Vietnam,VNM,18.9175795,
Vanuatu,VUT,24.29610449,
World,WLD,3.655154505,
Samoa,WSM,9.522508706,
Kosovo,XKX,12.31951499,
"Yemen, Rep.",YEM,8.279570035,
South Africa,ZAF,2.184235529,
Zambia,ZMB,9.065290189,
Zimbabwe,ZWE,7.951620715,
